state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
"Andhra Pradesh",Kadapa,Veeraballi,Matli,Matli,Yellampalli,0000035162,0000637684,MPPS,42,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Somavaram,Somavaram,Thogatapalli,0000035096,0000638988,MPPS,28,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Odiveedu,Odiveedu,Kummarapalli,0000035190,0000638450,MPPS,46,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Odiveedu,Odiveedu,Yerramrajugaripalli,0000035192,0000638448,MPPS,39,"Local Body","Upper Primary with grades 1 to 8",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Veeraballi,Veeraballi,Balasanivandlapalli,0000035105,0000639745,MPPS,7,Govt.,"Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Gurrappagaripalli,Veeraballi,Chemarthivandlapalli,0000035140,0000639933,ZPHS,89,"Local Body","Secondary/Sr. Sec. with grades 1 to 10",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,D.rachapalli,Vongimalla,Kallevondlapalli,0001687400,0001722895,MPPS,20,Govt.,"Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Sanipaya,Sanipaya,Lakkisettivandlapalli,0001692370,0000634435,ZPHS,286,"Local Body","Secondary/Sr. Sec. with grades 1 to 10",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Vongimalla,Vongimalla,Poluchennareddigaripalli,0000035075,0000636906,MPPS,12,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Thatiguntapalli,Matli,Shikaripalem,0001685623,0000637492,MPPS,89,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Sangamvandlapalli,Peddiveedu,Neelavondlapalli,0001685643,0000637476,MPPS,22,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Thatiguntapalli,Matli,Reddivaripalli,0001687307,0000637490,MPPS,36,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Veeraballi,Veeraballi,Veeraballi,0000035100,0000637943,"MPPS (T)",81,Govt.,"Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Peddiveed,Peddiveedu,Madigapalli,0000035153,0000637672,MPPS,21,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Peddiveed,Peddiveedu,Reddivaripalli,0000035154,0000637675,MPPS,33,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Peddiveed,Peddiveedu,Kothapalli,0000035155,0000637664,MPPS,21,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Matli,Matli,"Matli Pedduru",0000035165,0000637689,MPPS,24,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Odiveedu,Odiveedu,"Odiveedu Kasba",0000035186,0000637499,"MPUPS (U)",65,"Local Body","Upper Primary with grades 1 to 8",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Gadikota,Gadikota,Velpulamitta,0000035059,0000639257,MPPS,37,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Gadikota,Gadikota,"Gadikota Kasba",0000035064,0000639261,"MPPS (T)",19,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Vongimalla,Vongimalla,Polimerapalli,0000035072,0000638411,MPPS,26,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Vongimalla,Vongimalla,B.madigapalli,0000035074,0000639383,MPPS,34,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Thatiguntapalli,Matli,Seethampeta,0000035184,0000638444,"MPPS (U)",12,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Odiveedu,Odiveedu,Yerramrajugaripalli,0000035192,0000638452,ZPHS,144,"Local Body","Secondary/Sr. Sec. with grades 1 to 10",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Sanipaya,Sanipaya,Rachapalli,0000035197,0000638454,MPPS,24,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Sanipaya,Sanipaya,Krishnamaiahgaripalli,0000035205,0000638230,MPPS,35,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Sanipaya,Sanipaya,Anchelavaripalli,0000035209,0000638232,MPPS,11,"Local Body","Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Veeraballi,Veeraballi,Kothavaddepalli,0001685621,0000639344,MPPS,19,Govt.,"Primary only with grades 1 to 5",2022-11-25
"Andhra Pradesh",Kadapa,Veeraballi,Veeraballi,Veeraballi,Veeraballi,0000035100,0000639756,Z.P.H.S,375,Govt.,"Secondary/Sr. Sec. with grades 1 to 10",2022-11-25
