state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
"Tamil Nadu",Chengalpattu,Maduranthakam,Andavakkam,Andavakkam,Melma,0000945692,0001660643,PUPS,26,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Bukkathurai,Bukkathurai,Bukkathurai,0000945709,0001662293,PUPS,54,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kinar,Kinar,Kinar,0000945767,0001667417,"CSI PRIMARY SCHOOL",20,"Govt. Aided","Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kilakandai,Kilakandai,Melakandai,0000945779,0001819210,"Sasi shobana Nursaray School",5,Private,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Mamandur,Mamandur,Athankarai,0000945806,0001818256,"VIDYAMANDIR HR SEC SCHOOL",15,Private,"Higher Secondary with grades 1 to 12",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Meyyur,Maiyur,Ambedkarnagar,0000945817,0001660774,PUPS,41,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Pudupattu,Pudupattu,Pasumbur,0000945904,0001667379,"CSI PRIMARY SCHOOL",20,"Govt. Aided","Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Puliyarankottai,Puliyaranankottai,Keeralvadi,0000945919,0001667455,"CSI PRIMARY SCHOOL",21,"Govt. Aided","Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Soorai,Soorai,"Puluthivakkam Village",0000945946,0001662636,PUMS,141,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Vilvarayanallur,Vilvarayanallur,Govintharajapuram,0000945978,0001818409,"SUBHAM VIDYALAYA CBSE SCHOOL",16,Private,"Higher Secondary with grades 1 to 12",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Zaminendathur,Z.endathur,Zaminendathur,0000945989,0001819095,"VIVEKANANDHA VIDHYALAYA METRIC SCHOOL",10,Private,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Budur,Budur,Essur,0000945722,0000391417,PUMS,119,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Devadur,Devadur,"Devadur Village",0000945727,0000391419,"ADW MIDDLE SCHOOL",80,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Lakshminarayanapuram,Lakshminarayanapuram(pallipat,Pathur,0000945801,0000391444,"ADW SCHOOL",30,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Mamandur,Mamandur,"Vadapathi Village",0000945807,0000391447,PUMS,81,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Mangalam,Mangalam,Indrapuram,0000945813,0000391450,PUPS,33,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Nallur,Nallur,Pavundankaranai,0000945840,0000391462,PUPS,24,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Nesapakkam,Nesapakkam,Nesapakkam,0000945851,0000391467,PUPS,18,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Onampakkam,Onampakkam,Onambakkam,0000945880,0000391478,PUHS,303,Govt.,"Secondary/Sr. Sec. with grades 6 to 10",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Onampakkam,Onampakkam,"Onambakkam Colony",0000945882,0000391479,PUPs,23,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Padalam,Padalam,Padalam,0000945884,0000391480,"MCSM SCHOOL",138,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Padalam,Padalam,Puliparakoil,0000945887,0000391481,"CSI PRIMARY SCHOOL",50,"Govt. Aided","Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Pakkam,Pakkam,"Pakkam Village",0000945889,0000391483,PUPS,77,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Pakkam,Pakkam,"Pakkam Village",0000945889,0001185270,"Government High School",110,Govt.,"Secondary/Sr. Sec. with grades 6 to 10",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Pakkam,Pakkam,Thathankuppam,0000945891,0000391484,PUPS,30,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Pilappur,Pilappur,Pilappur,0000945895,0000391486,PUPS,52,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Palayanur,Palayanur,"Palayanur Village",0000945897,0000391488,"ADW SCHOOL",12,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Pudupattu,Pudupattu,"Pudupattu Village",0000945900,0000391489,PUMS,108,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Veeranakunnam,Veeranakunnam,Veeranakunnam,0000945965,0000391505,PUPS,80,Govt.,"Primary only with grades 1 to 5",2023-01-18
