state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
Kerala,Kasaragod,Kanhangad,Madikkai,Ambalathara,"Ward Xv",0001803887,0000354864,"Madikkali GHSS",900,Govt.,"Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Chithari,"Ward Iii",0000417231,0002464013,"GUPS VELESHWARAM",229,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Chithari,"Ward Xvii",0000417232,0002464320,"GFUPS AJANUR",178,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Ajanur,"Ward Iv",0000417237,0002464132,"GLPS MADIYAN",57,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Periya,"Ward Iii",0000417333,0000354883,"GVHSS Ambalathara",1000,Govt.,"Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Periya,"Ward Xiii",0000417336,0000354885,"GHS Pullur Eriya",420,Govt.,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Pullur,"Ward X",0000417344,0000354887,"Chalingal LPS",173,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Pullur,"Ward X",0000417344,0001990541,"UNHS PULLUR",500,"Govt. Aided","Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Ajanur,"Ward Xiv",0000417247,0002591482,"GMLPS AJANUR",244,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Madikkai,Ambalathara,"Ward Iii",0000417291,0002464570,"VRINDAVAN EMS NANDAPURAM",60,Private,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Panayal,"Ward Iv",0000417300,0002521458,"RALPS MOWAL",271,"Govt. Aided","Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Panayal,"Ward Vi",0000417302,0002592477,"ST MARYS PERIYATTADUKKAM CBSE",327,Private,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Panayal,"Ward Vi",0000417302,0002743521,"SMAUPS PANAYAL",410,"Govt. Aided","Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Pallikkara,"Ward I",0000417308,0002592488,"KHILIRIYA JEMS BEKAL KUNNIL",161,Private,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Keekan,"Ward Xiv",0000417317,0002521433,"GUPS KOOTTAKKANI",437,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Keekan,Wardxxi,0001833156,0002592511,"ST MARYS EMS",570,Private,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,Bare,"Ward I",0001863143,0002488830,"UDHMA PADINHAR JEM SCHOOL",396,Private,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
