state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
Karnataka,Hassan,Arkalgud,"Kalena Hally","Kalena Hally","Kebbe Koppalu",0000380214,0001733105,"GLPS KEBBEKOPPALU",8,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Kattepura,"Gobbali Kaval","Gobbali Kaval",0000380231,0001710216,"ghps gobbali kaval",51,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Mokali,Mokali,Mokali,0000380246,0001702036,"MOKALI GHS",141,Govt.,"Secondary/Sr. Sec. only with grades 9 and 10",2023-01-18
Karnataka,Hassan,Arkalgud,Keralapura,Kerelapura,Keralapura,0000380254,0001732786,"Dr. SRK CONVENT KERALAPURA",195,Private,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Keralapura,Kerelapura,Keralapura,0000380254,0001733048,"Vidyaganapathi high school keralapura",104,Private,"Secondary/Sr. Sec. only with grades 9 and 10",2023-01-18
Karnataka,Hassan,Arkalgud,Konanur,Konanur,Konanur,0000380259,0001704037,"B.V.M BALIKA H.S.KONANUR",103,Private,"Secondary/Sr. Sec. only with grades 9 and 10",2023-01-18
Karnataka,Hassan,Arkalgud,Lakkur,"Madhurana Hally","Madhurana Hally",0000380270,0001704651,"GOVT URDHU  LOWER  PRIMARY SCHOOL MADHURANAHALLY",12,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Ramanathpura,Ramanathpura,Ramanathpura,0000380301,0001709922,kuvempu,65,Private,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Ramanathpura,Ramanathpura,Ramanathpura,0000380301,0001709960,"jsp hps",84,Private,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Saraguru,"Ullena Hally","Ullena Hally",0000380340,0001704298,"NALANDA PUBLIC SCHOOL ULLENAHALLY",262,Private,"Primary only with grades 1 to 5",2023-01-18
